date,score,note
2014-06-01,4
2014-06-08,3
2014-06-15,5
2014-06-22,4
2014-06-29,4
2014-07-06,3
2014-07-13,3
2014-07-20,3
2014-07-27,3
2014-08-03,3
2014-08-10,4
2014-08-17,4
2014-08-24,7
2014-08-31,4
2014-09-07,6
2014-09-14,6
2014-09-21,4
2014-09-28,4
2014-10-05,4
2014-10-12,5
2014-10-19,4
2014-10-26,3
2014-11-02,4
2014-11-09,3
2014-11-16,4
2014-11-23,4
2014-11-30,5
2014-12-07,7
2014-12-14,5
2014-12-21,3
2014-12-28,5
2015-01-04,4
2015-01-11,5
2015-01-18,5
2015-01-25,5
2015-02-01,5
2015-02-08,4
2015-02-15,7
2015-02-22,5
2015-03-01,4
2015-03-08,4
2015-03-15,5
2015-03-22,6
2015-03-29,7
2015-04-05,6
2015-04-12,6
2015-04-19,4
2015-04-26,4
2015-05-03,5
2015-05-10,5
2015-05-17,7
2015-05-24,6
2015-05-31,6
2015-06-07,6
2015-06-14,7
2015-06-21,9
2015-06-28,8
2015-07-05,8
2015-07-12,8
2015-07-19,6
2015-07-26,7
2015-08-02,9
2015-08-09,8
2015-08-16,8
2015-08-23,8
2015-08-30,11
2015-09-06,10
2015-09-13,11
2015-09-20,12
2015-09-27,12
2015-10-04,9
2015-10-11,10
2015-10-18,9
2015-10-25,10
2015-11-01,9
2015-11-08,11
2015-11-15,10
2015-11-22,11
2015-11-29,10
2015-12-06,12
2015-12-13,13
2015-12-20,13
2015-12-27,13
2016-01-03,14
2016-01-10,15
2016-01-17,15
2016-01-24,100,"Rapper B.o.B tweeted about earth being flat"
2016-01-31,34
2016-02-07,21
2016-02-14,15
2016-02-21,19
2016-02-28,15
2016-03-06,14
2016-03-13,13
2016-03-20,14
2016-03-27,13
2016-04-03,14
2016-04-10,16
2016-04-17,15
2016-04-24,12
2016-05-01,15
2016-05-08,17
2016-05-15,16
2016-05-22,17
2016-05-29,19
2016-06-05,21
2016-06-12,19
2016-06-19,20
2016-06-26,18
2016-07-03,18
2016-07-10,16
2016-07-17,15
2016-07-24,14
2016-07-31,17
2016-08-07,15
2016-08-14,16
2016-08-21,19
2016-08-28,16
2016-09-04,19
2016-09-11,19
2016-09-18,16
2016-09-25,17
2016-10-02,16
2016-10-09,14
2016-10-16,18
2016-10-23,16
2016-10-30,17
2016-11-06,17
2016-11-13,19
2016-11-20,17
2016-11-27,17
2016-12-04,18
2016-12-11,17
2016-12-18,20
2016-12-25,21
2017-01-01,18
2017-01-08,17
2017-01-15,17
2017-01-22,20
2017-01-29,17
2017-02-05,21
2017-02-12,51
2017-02-19,88,"NBA player Kyrie Irving reveals he is a flat-earther in a podcast"
2017-02-26,33
2017-03-05,31
2017-03-12,25
2017-03-19,62,"Shaquille Oâ€™Neal proclaimed the earth is flat, and then said he was joking"
2017-03-26,35
2017-04-02,29
2017-04-09,26
2017-04-16,32
2017-04-23,31
2017-04-30,27
2017-05-07,32
2017-05-14,34
2017-05-21,33
2017-05-28,32
2017-06-04,29
2017-06-11,29
2017-06-18,26
2017-06-25,31
2017-07-02,28
2017-07-09,33
2017-07-16,28
2017-07-23,31
2017-07-30,35
2017-08-06,30
2017-08-13,31
2017-08-20,60,"Total solar eclipse witnessed in United States. Flat earthers believe that to be a proof."
2017-08-27,26
2017-09-03,29
2017-09-10,25
2017-09-17,34
2017-09-24,36
2017-10-01,27
2017-10-08,28
2017-10-15,23
2017-10-22,28
2017-10-29,32
2017-11-05,25
2017-11-12,31
2017-11-19,77,"Mike hughes plans to launch himself in a rocket to prove earth is flat"
2017-11-26,79
2017-12-03,52
2017-12-10,48
2017-12-17,45